window,top_k,direction,margin,book,is_sharpe,is_monthly_pct,oos_sharpe,oos_monthly_pct,oos_gross_sharpe,oos_rotations,oos_max_dd,decay_sharpe,rankable
45,2,momentum,0.25,neutral,-1.8065752067732634,-4.558969441432826,-1.0930416095036017,-3.61061146581263,1.02225474616519,122,-0.5816090455953676,-0.7135335972696617,True
45,2,momentum,0.5,long_only,0.9347009803010138,3.6183365224643715,0.7730461174655091,2.588460316459562,0.8049723338626712,47,-0.6923336365791385,0.16165486283550468,True
45,2,momentum,0.5,neutral,-1.6872651189598222,-4.3143388001789855,-0.9829576945554563,-3.3668398205744743,1.0618676886308067,80,-0.5958405502451322,-0.7043074244043659,True
60,1,reversion,0.0,long_only,-0.03234568472656091,-3.2569362848692385,-0.429196841669094,-5.54490744495979,-0.30198126367951283,101,-0.6753057922354686,0.3968511569425331,True
60,1,reversion,0.0,neutral,-2.6062074104742883,-10.112803560084371,-2.6601953553316537,-13.670115673201034,-1.3117955914147021,170,-0.9360595704756087,0.053987944857365466,True
60,1,reversion,0.25,long_only,-0.03531411648977277,-3.3136428565273657,-0.4365751576539992,-5.690984424789569,-0.3721927232785304,52,-0.7161602976058838,0.4012610411642264,True
60,1,reversion,0.25,neutral,-2.64386862754767,-10.332676600394198,-2.592573947436092,-13.527041361033177,-1.3347712809850933,94,-0.9353147948014037,-0.05129468011157812,True
60,1,reversion,0.5,long_only,-0.014279031118509783,-3.213817065633684,-0.43945601779106497,-5.730541874445006,-0.40289063657165225,30,-0.7045134288251166,0.4251769866725552,True
60,1,reversion,0.5,neutral,-2.6263106187088763,-10.323384974813077,-2.5705374822524227,-13.554002714796686,-1.3514592432777814,63,-0.9344488749212948,-0.05577313645645354,True
60,1,momentum,0.0,long_only,0.7906115698730288,2.624293442252723,1.015922643208715,4.684621934623201,1.0951167678809033,91,-0.8374622541216812,-0.22531107333568612,True
60,1,momentum,0.0,neutral,-0.7874715172897733,-3.705236093724096,-0.03755466886590245,-1.5822350340222169,1.3117955914147021,170,-0.6940145893996726,-0.7499168484238709,True
60,1,momentum,0.25,long_only,0.9222890629568243,3.7376817184529454,1.0317486239462048,4.835602930261129,1.0756851696269818,51,-0.8151138437209918,-0.10945956098938048,True
60,1,momentum,0.25,neutral,-0.5337212682408702,-2.8146856629899797,0.07737110457989378,-1.0498177024969024,1.3347712809850933,94,-0.7065879394569988,-0.611092372820764,True
60,1,momentum,0.5,long_only,0.9729796846174162,4.186092652875639,1.0436372598488817,4.951701193939573,1.0780169512898063,40,-0.8073312799999323,-0.07065757523146543,True
