asset,strategy,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,frac_paths_positive,median_return,total_trades
DOGE,stochastic,21,7,-0.5704370453086421,-0.9272835966725621,0.08074266149568783,0.3333333333333333,-0.414116708530442,40
DOGE,ts_momentum,21,7,0.05655575917732227,-0.43481709780503325,0.7816015295354157,0.5238095238095238,-0.21833037087525098,98
DOGE,vol_regime,15,6,-0.11384041753128575,-0.3806315486464844,0.5667942008329756,0.4666666666666667,-0.11651010684896301,68
DOGE,voltarget,21,7,0.26161637160059,-0.1356726457493719,0.7949049107424958,0.6666666666666666,0.03180701934659513,566
DOGE,vwap_reversion,21,7,-0.2191052996558282,-0.3371893145704465,-0.08185530370500219,0.23809523809523808,-0.32586949936720633,142
DOGE,zscore,21,7,-0.34110413959267727,-0.43885624010833946,-0.21603007703348268,0.0,-0.30215545775435737,56
ZEC,adx_trend,21,7,1.0371696540461388,0.3714555193047364,2.1141152245460533,0.8095238095238095,0.5032293366639717,60
ZEC,atr_sized,21,7,0.338912121735509,-0.20913990870781538,1.2292901429381395,0.5714285714285714,0.01899710849366376,824
ZEC,bb_breakout,21,7,0.39367598430058554,0.009036523721342173,2.1011263488378695,0.7619047619047619,0.10872560422221489,64
ZEC,bb_reversion,21,7,0.5587461120300836,0.13963620704212368,0.8729676766204715,0.8095238095238095,0.2304741211523853,68
ZEC,breakout,21,7,0.5755053292396995,-0.26132556550087194,2.049919530021859,0.5714285714285714,0.26580852898458907,50
ZEC,buy_and_hold,28,8,0.659281450079122,0.15077561228579045,1.4650676126798732,0.8214285714285714,0.20183827860559078,16
ZEC,dual_momentum,21,7,-0.1830060056601389,-0.35436041687544356,1.6076011624057722,0.42857142857142855,-0.3263147595020415,244
ZEC,garch_voltarget,21,7,0.2991867658158569,-0.2958548264278984,0.9476895328040453,0.5238095238095238,0.04810265896534616,763
ZEC,grid,21,7,0.25732050060096556,-0.14609601804195266,0.5551132649668252,0.6190476190476191,-0.024621546633683322,685
ZEC,hurst_switch,21,7,0.5491511869766719,0.0778091153422112,0.9317383844856283,0.7619047619047619,0.14005135768878918,54
ZEC,ichimoku,21,7,0.30423468925361963,-0.08482419883801713,1.854074656184117,0.6666666666666666,-0.006159962627745097,84
ZEC,keltner,21,7,0.5851732325549052,0.21847096826307086,2.171435293584952,0.9523809523809523,0.2699526600920925,34
