horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
short,12,2,zscore,-1.4459281620548923,0.2727272727272727,308
short,6,2,bb_breakout,-1.0817602167562883,0.3,258
short,7,2,bb_breakout,-1.3295191614662947,0.06666666666666667,268
short,8,2,bb_breakout,-1.4874651926583589,0.2857142857142857,270
short,9,2,bb_breakout,-0.8692322175040507,0.25,280
short,10,2,bb_breakout,-1.294591224713445,0.3333333333333333,284
short,11,2,bb_breakout,-1.3677578883364097,0.3333333333333333,286
short,12,2,bb_breakout,-1.6030049735085743,0.4,284
short,6,2,obv_trend,-1.6432246628244884,0.0,814
short,7,2,obv_trend,-1.1569013627535034,0.06666666666666667,836
short,8,2,obv_trend,-1.580413809559001,0.23809523809523808,852
short,9,2,obv_trend,-1.4919090427834183,0.17857142857142858,870
short,10,2,obv_trend,-1.545947089710364,0.3611111111111111,876
short,11,2,obv_trend,-1.580045712322931,0.26666666666666666,892
short,12,2,obv_trend,-1.316463636660241,0.2545454545454545,900
short,6,2,rsi,-1.361798207286637,0.1,312
short,7,2,rsi,-1.6128616419050825,0.2,318
short,8,2,rsi,-1.7225129793226104,0.14285714285714285,328
short,9,2,rsi,-1.9505739293480362,0.21428571428571427,326
short,10,2,rsi,-1.6070295151951441,0.1111111111111111,332
short,11,2,rsi,-1.9744850177573434,0.2,334
short,12,2,rsi,-1.988189940931912,0.2545454545454545,342
short,6,2,breakout,-2.3596956893505094,0.0,332
short,7,2,breakout,-2.218104487260119,0.0,344
short,8,2,breakout,-1.9053920458208842,0.14285714285714285,350
short,9,2,breakout,-1.4353672033762797,0.14285714285714285,354
short,10,2,breakout,-1.8210186363582652,0.2777777777777778,362
short,11,2,breakout,-2.100336223283212,0.26666666666666666,368
short,12,2,breakout,-1.8425223987536703,0.14545454545454545,368
short,6,2,garch_voltarget,-1.9069323627671328,0.0,270
short,7,2,garch_voltarget,-1.909462534189891,0.0,284
short,8,2,garch_voltarget,-2.2816780017762817,0.047619047619047616,292
short,9,2,garch_voltarget,-1.7453440554031512,0.0,298
short,10,2,garch_voltarget,-1.6578158097007094,0.2222222222222222,296
short,11,2,garch_voltarget,-2.0201682139259867,0.15555555555555556,310
short,12,2,garch_voltarget,-2.1638708575087966,0.21818181818181817,320
short,6,2,sma_regime,-1.9069323627671328,0.0,270
short,7,2,sma_regime,-1.909462534189891,0.0,284
short,8,2,sma_regime,-2.2816780017762817,0.047619047619047616,292
short,9,2,sma_regime,-1.7453440554031512,0.0,298
short,10,2,sma_regime,-1.6578158097007094,0.2222222222222222,296
short,11,2,sma_regime,-2.0201682139259867,0.15555555555555556,310
short,12,2,sma_regime,-2.1638708575087966,0.21818181818181817,320
short,6,2,voltarget,-1.9069323627671328,0.0,270
short,7,2,voltarget,-1.909462534189891,0.0,284
short,8,2,voltarget,-2.2816780017762817,0.047619047619047616,292
short,9,2,voltarget,-1.7453440554031512,0.0,298
short,10,2,voltarget,-1.6578158097007094,0.2222222222222222,296
short,11,2,voltarget,-2.0201682139259867,0.15555555555555556,310
short,12,2,voltarget,-2.1638708575087966,0.21818181818181817,320
short,6,2,grid,-1.9745727230627281,0.0,4071
short,7,2,grid,-1.783853291953147,0.13333333333333333,4204
short,8,2,grid,-2.0218645600078777,0.0,4304
