horizon,size,mode,a,b,corr,agree_active,both_flat,redundant
short,2,any,any(ts_momentum+bb_reversion),any(dual_momentum+bb_reversion),0.7837267963922546,0.9032351661105469,False,True
short,2,any,any(ts_momentum+bb_reversion),any(dual_momentum+zscore),0.7704664171598128,0.8962715798636298,False,False
short,2,any,any(ts_momentum+zscore),any(dual_momentum+rsi),0.6410702859795874,0.8473271760425413,False,False
short,2,any,any(ts_momentum+zscore),any(dual_momentum+bb_reversion),0.7697949854154561,0.8962715798636298,False,False
short,2,any,any(ts_momentum+zscore),any(dual_momentum+zscore),0.784648342989348,0.9014454664914586,False,True
short,2,any,any(dual_momentum+rsi),any(dual_momentum+bb_reversion),0.8586607238505624,0.9361952366950896,False,True
short,2,any,any(dual_momentum+rsi),any(dual_momentum+zscore),0.8553388386476176,0.9336870026525199,False,True
short,2,any,any(dual_momentum+bb_reversion),any(dual_momentum+zscore),0.984859973497259,0.992638036809816,False,True
short,2,any,any(ts_momentum+stochastic),any(dual_momentum+stochastic),0.7805081995634617,0.8958702064896755,False,False
short,2,any,any(ts_momentum+vwap_reversion),any(dual_momentum+vwap_reversion),0.7985204857174354,0.9202592279515357,False,True
short,2,any,any(ts_momentum+ou_reversion),any(dual_momentum+ou_reversion),0.8133237941091565,0.8746166950596252,False,True
short,2,any,any(ts_momentum+obv_trend),any(dual_momentum+obv_trend),0.8997836996816916,0.9266666666666666,False,True
short,2,any,any(sma_regime+rsi),any(sma_regime+bb_reversion),0.8829835483081152,0.9285596978157333,False,True
short,2,any,any(sma_regime+rsi),any(sma_regime+zscore),0.8796717445157649,0.9255231504366452,False,True
short,2,any,any(sma_regime+bb_reversion),any(sma_regime+zscore),0.9849792293186852,0.990184260375409,False,True
short,2,any,any(adx_trend+rsi),any(adx_trend+bb_reversion),0.8644750513547597,0.8986191860465116,False,True
short,2,any,any(adx_trend+rsi),any(adx_trend+zscore),0.8625422178034605,0.8958029197080292,False,True
short,2,any,any(adx_trend+bb_reversion),any(adx_trend+zscore),0.9853571626075901,0.9880859375,False,True
short,2,any,any(hurst_switch+rsi),any(hurst_switch+bb_reversion),0.8576387302349953,0.8301659125188537,False,True
short,2,any,any(hurst_switch+rsi),any(hurst_switch+zscore),0.8545207526988037,0.8249772105742935,False,True
short,2,any,any(hurst_switch+bb_reversion),any(hurst_switch+zscore),0.9842320034617001,0.9791879904469465,False,True
short,2,any,any(vol_regime+rsi),any(vol_regime+bb_reversion),0.8876451731181085,0.8939061814993424,False,True
short,2,any,any(vol_regime+rsi),any(vol_regime+zscore),0.8849389306086315,0.8902842035690681,False,True
short,2,any,any(vol_regime+bb_reversion),any(vol_regime+zscore),0.9860944495173284,0.9858657243816255,False,True
short,2,any,any(breakout+rsi),any(breakout+bb_reversion),0.8517759436210193,0.9077454366058214,False,True
short,2,any,any(breakout+rsi),any(breakout+zscore),0.8491886848920611,0.9047854785478547,False,True
short,2,any,any(breakout+bb_reversion),any(breakout+zscore),0.9850054312032578,0.989822775925601,False,True
short,2,any,any(bb_breakout+rsi),any(bb_breakout+bb_reversion),0.8622435505823827,0.8859204368174727,False,True
short,2,any,any(bb_breakout+rsi),any(bb_breakout+zscore),0.8601333552550656,0.8828369905956113,False,True
short,2,any,any(bb_breakout+bb_reversion),any(bb_breakout+zscore),0.9857318037926803,0.9871226514671733,False,True
short,2,any,any(keltner+rsi),any(keltner+bb_reversion),0.8580280512441496,0.8402075935536739,False,True
short,2,any,any(keltner+rsi),any(keltner+zscore),0.8551498120394303,0.8355787737146,False,True
short,2,any,any(keltner+bb_reversion),any(keltner+zscore),0.9849789412721777,0.9813455657492355,False,True
short,2,any,any(rsi+stochastic),any(stochastic+bb_reversion),0.9266187525482176,0.9127497062279671,False,True
short,2,any,any(rsi+stochastic),any(stochastic+zscore),0.9249079724592288,0.910403772472738,False,True
short,2,any,any(stochastic+bb_reversion),any(stochastic+zscore),0.9927987764544496,0.9909881914232442,False,True
short,2,any,any(rsi+vwap_reversion),any(bb_reversion+vwap_reversion),0.9550037567142301,0.9462555066079296,False,True
short,2,any,any(rsi+vwap_reversion),any(zscore+vwap_reversion),0.9566677686362254,0.9481284998526378,False,True
short,2,any,any(bb_reversion+vwap_reversion),any(zscore+vwap_reversion),0.9958288849870092,0.9948887552615755,False,True
short,2,any,any(rsi+ou_reversion),any(bb_reversion+ou_reversion),0.8670317519277203,0.8291095890410959,False,True
short,2,any,any(rsi+ou_reversion),any(zscore+ou_reversion),0.8639616940015226,0.8232044198895028,False,True
short,2,any,any(bb_reversion+ou_reversion),any(zscore+ou_reversion),0.9829177948636362,0.9758797943851325,False,True
short,2,any,any(rsi+obv_trend),any(bb_reversion+obv_trend),0.8500269368355764,0.9388309275403744,False,True
short,2,any,any(rsi+obv_trend),any(zscore+obv_trend),0.8468944286879,0.9362190053031388,False,True
short,2,any,any(bb_reversion+obv_trend),any(zscore+obv_trend),0.9808438031166579,0.99150521609538,False,True
short,2,vote,vote(ma_crossover+ts_momentum),vote(ma_crossover+dual_momentum),0.9417437878628161,0.9190085870413739,False,True
short,2,vote,vote(ma_crossover+rsi),vote(ma_crossover+bb_reversion),0.8684670953976679,0.9417252982563475,False,True
short,2,vote,vote(ma_crossover+rsi),vote(ma_crossover+zscore),0.8663330133093353,0.9394357559030972,False,True
short,2,vote,vote(ma_crossover+bb_reversion),vote(ma_crossover+zscore),0.986074326896743,0.9926902907993008,False,True
short,2,vote,vote(macd+ts_momentum),vote(macd+dual_momentum),0.8974072115274219,0.9408736578908663,False,True
short,2,vote,vote(macd+rsi),vote(macd+bb_reversion),0.9225001433537511,0.9418918918918919,False,True
short,2,vote,vote(macd+rsi),vote(macd+zscore),0.9211800477406411,0.9410269445856635,False,True
short,2,vote,vote(macd+bb_reversion),vote(macd+zscore),0.9918870054975605,0.9926134365107281,False,True
short,2,vote,vote(ma_ribbon+ts_momentum),vote(ma_ribbon+dual_momentum),0.9262324090750822,0.9942796929098299,False,True
short,2,vote,vote(ma_ribbon+rsi),vote(ma_ribbon+bb_reversion),0.7526920605299215,0.9791069723018148,False,True
short,2,vote,vote(ma_ribbon+rsi),vote(ma_ribbon+zscore),0.7478058524656263,0.9780140996534831,False,True
short,2,vote,vote(ma_ribbon+bb_reversion),vote(ma_ribbon+zscore),0.9730885088791605,0.9972181906144171,False,True
short,2,vote,vote(ichimoku+ts_momentum),vote(ichimoku+dual_momentum),0.938135486052353,0.8996162391436073,False,True
short,2,vote,vote(ichimoku+rsi),vote(ichimoku+bb_reversion),0.8663296379118431,0.9255090216851515,False,True
short,2,vote,vote(ichimoku+rsi),vote(ichimoku+zscore),0.8642827756759991,0.9218257261410788,False,True
short,2,vote,vote(ichimoku+bb_reversion),vote(ichimoku+zscore),0.9860129425024333,0.9907697666318356,False,True
short,2,vote,vote(ts_momentum+sma_regime),vote(dual_momentum+sma_regime),0.9317636171815945,0.9117862371888726,False,True
short,2,vote,vote(ts_momentum+adx_trend),vote(dual_momentum+adx_trend),0.9295220100755284,0.8742430359305612,False,True
short,2,vote,vote(ts_momentum+hurst_switch),vote(dual_momentum+hurst_switch),0.8561250685175114,0.837951301427372,False,True
short,2,vote,vote(ts_momentum+vol_regime),vote(dual_momentum+vol_regime),0.9068442933067689,0.8789107763615296,False,True
short,2,vote,vote(ts_momentum+breakout),vote(dual_momentum+breakout),0.934874946669203,0.8915159944367177,False,True
short,2,vote,vote(ts_momentum+bb_breakout),vote(dual_momentum+bb_breakout),0.9295002881441916,0.8514617368873603,False,True
short,2,vote,vote(ts_momentum+keltner),vote(dual_momentum+keltner),0.8852614118136881,0.8270364708451627,False,True
short,2,vote,vote(ts_momentum+rsi),vote(ts_momentum+bb_reversion),0.8250012851551479,0.9302762910458556,False,True
short,2,vote,vote(ts_momentum+rsi),vote(ts_momentum+zscore),0.8224923953306649,0.9272358312798956,False,True
short,2,vote,vote(ts_momentum+rsi),vote(dual_momentum+rsi),0.7675526097232677,0.9097519247219846,False,True
short,2,vote,vote(ts_momentum+rsi),vote(dual_momentum+bb_reversion),0.6080735057499057,0.8526536312849162,False,False
