horizon,blocks,k,strategy,median_sharpe,frac_positive,trades
long,9,2,ou_reversion,0.3546256531269754,0.7619047619047619,26
long,10,2,ou_reversion,0.17509736184490296,0.5357142857142857,26
long,11,2,ou_reversion,0.3958651427343882,0.6666666666666666,26
long,12,2,ou_reversion,0.34344008524787006,0.5777777777777777,26
long,6,2,ts_momentum,0.8058157634718981,0.7,52
long,7,2,ts_momentum,0.3348586507921642,0.6666666666666666,54
long,8,2,ts_momentum,0.199616111874506,0.5238095238095238,54
long,9,2,ts_momentum,0.17520073608276596,0.5357142857142857,52
long,10,2,ts_momentum,0.6222456185425667,0.6428571428571429,54
long,11,2,ts_momentum,-0.048847495825651614,0.4166666666666667,54
long,12,2,ts_momentum,0.6182573520196042,0.5777777777777777,56
long,6,2,ma_crossover,0.469585850899317,0.7,16
long,7,2,ma_crossover,-0.253231272022854,0.3333333333333333,18
long,8,2,ma_crossover,0.28993439019525385,0.5238095238095238,16
long,9,2,ma_crossover,-0.29479664218375934,0.39285714285714285,16
long,10,2,ma_crossover,0.21711234885445524,0.5714285714285714,16
long,11,2,ma_crossover,-0.3829461047399919,0.3611111111111111,16
long,12,2,ma_crossover,0.3307895749875824,0.5333333333333333,20
long,6,2,voltarget,0.6749448125131938,0.7,660
long,7,2,voltarget,-0.012185229615601615,0.3333333333333333,658
long,8,2,voltarget,0.2946964905553242,0.7619047619047619,661
long,9,2,voltarget,-0.07835921790682625,0.4642857142857143,668
long,10,2,voltarget,0.33021964976249396,0.6428571428571429,660
long,11,2,voltarget,0.19090651844589362,0.5277777777777778,660
long,12,2,voltarget,0.15486983112284833,0.6222222222222222,660
long,6,2,atr_sized,0.5404460202614344,0.7,672
long,7,2,atr_sized,-0.13658231666819665,0.3333333333333333,670
long,8,2,atr_sized,0.15602119797835798,0.6666666666666666,672
long,9,2,atr_sized,-0.1794124957085983,0.42857142857142855,680
long,10,2,atr_sized,0.17645237872105246,0.6071428571428571,672
long,11,2,atr_sized,0.054839073044596176,0.5,672
long,12,2,atr_sized,0.15442939809735529,0.5555555555555556,672
long,6,2,breakout,0.8018977329757395,0.8,16
long,7,2,breakout,0.07984866982062899,0.5333333333333333,16
long,8,2,breakout,0.14042641075584708,0.6190476190476191,18
long,9,2,breakout,0.1165520058128873,0.5714285714285714,18
long,10,2,breakout,0.18389337463483207,0.5833333333333334,18
long,11,2,breakout,-0.12088235519229994,0.4222222222222222,20
long,12,2,breakout,0.3564924103274418,0.5454545454545454,18
long,6,2,stochastic,0.07209601173939763,0.5,26
long,7,2,stochastic,0.31504749081781186,0.7333333333333333,34
long,8,2,stochastic,0.3157061457043147,0.5714285714285714,34
long,9,2,stochastic,0.1247766706144608,0.6071428571428571,28
long,10,2,stochastic,-0.007375055881732529,0.5,28
long,11,2,stochastic,0.24007140709482658,0.6444444444444445,32
long,12,2,stochastic,0.09141797077099434,0.509090909090909,30
long,6,2,garch_voltarget,0.6013298665542639,0.7,672
long,7,2,garch_voltarget,-0.0668471249857815,0.3333333333333333,670
long,8,2,garch_voltarget,0.23917906643601014,0.7619047619047619,672
long,9,2,garch_voltarget,-0.14147628219772443,0.42857142857142855,680
long,10,2,garch_voltarget,0.252690096004332,0.6428571428571429,672
long,11,2,garch_voltarget,0.10626324692428485,0.5277777777777778,672
long,12,2,garch_voltarget,0.056330468892278475,0.5777777777777777,672
long,6,2,bb_reversion,0.14095198746427884,0.6,22
long,7,2,bb_reversion,0.4024167896495394,0.6,24
long,8,2,bb_reversion,0.1198036403097869,0.7619047619047619,24
long,9,2,bb_reversion,0.10177351143742674,0.5714285714285714,24
long,10,2,bb_reversion,-0.09499538225946955,0.4722222222222222,24
long,11,2,bb_reversion,-0.00035308243293071423,0.4666666666666667,26
long,12,2,bb_reversion,-0.008565180615640641,0.4727272727272727,26
long,6,2,zscore,0.14095198746427884,0.6,22
long,7,2,zscore,0.4024167896495394,0.6,24
long,8,2,zscore,0.1198036403097869,0.7619047619047619,24
long,9,2,zscore,0.10177351143742674,0.5714285714285714,24
long,10,2,zscore,-0.09499538225946955,0.4722222222222222,24
long,11,2,zscore,-0.00035308243293071423,0.4666666666666667,26
long,12,2,zscore,-0.008565180615640641,0.4727272727272727,26
