horizon,size,mode,a,b,corr,agree_active,both_flat,redundant
medium,2,any,any(bb_reversion+vwap_reversion),any(zscore+vwap_reversion),1.0,1.0,False,True
medium,2,any,any(bb_reversion+ou_reversion),any(zscore+ou_reversion),0.9643439446200346,0.9493670886075949,False,True
medium,2,any,any(bb_reversion+obv_trend),any(zscore+obv_trend),0.9627793829310803,0.9813311688311688,False,True
medium,2,vote,vote(ma_crossover+macd),vote(macd+ma_ribbon),0.7368485378369445,0.8873720136518771,False,False
medium,2,vote,vote(ma_crossover+ichimoku),vote(ma_ribbon+ichimoku),0.8570093044723883,0.6356404136833731,False,True
medium,2,vote,vote(ma_crossover+ts_momentum),vote(ma_ribbon+ts_momentum),0.848977945308734,0.7254601226993865,False,True
medium,2,vote,vote(ma_crossover+dual_momentum),vote(ma_ribbon+dual_momentum),0.8102740785904912,0.8335820895522388,False,True
medium,2,vote,vote(ma_crossover+sma_regime),vote(ma_ribbon+sma_regime),0.8502709497882203,0.7072599531615925,False,True
medium,2,vote,vote(ma_crossover+adx_trend),vote(ma_ribbon+adx_trend),0.8009446842703054,0.6170212765957447,False,True
medium,2,vote,vote(ma_crossover+hurst_switch),vote(ma_ribbon+hurst_switch),0.5854970679625696,0.6109350237717908,False,False
medium,2,vote,vote(ma_crossover+vol_regime),vote(ma_ribbon+vol_regime),0.784841143214274,0.6698113207547169,False,False
medium,2,vote,vote(ma_crossover+breakout),vote(ma_ribbon+breakout),0.8405909441286852,0.6976929196499603,False,True
medium,2,vote,vote(ma_crossover+bb_breakout),vote(ma_ribbon+bb_breakout),0.8128745861760959,0.6783161239078633,False,True
medium,2,vote,vote(ma_crossover+keltner),vote(ma_ribbon+keltner),0.8003348261794343,0.6189339697692919,False,True
medium,2,vote,vote(ma_crossover+rsi),vote(ma_ribbon+rsi),0.4465146547828787,0.7010309278350515,False,False
medium,2,vote,vote(ma_crossover+stochastic),vote(ma_ribbon+stochastic),0.6563714569323397,0.7368064952638701,False,False
medium,2,vote,vote(ma_crossover+bb_reversion),vote(ma_crossover+zscore),0.9770020092708672,0.9857397504456328,False,True
medium,2,vote,vote(ma_crossover+bb_reversion),vote(ma_ribbon+bb_reversion),0.611056756864601,0.748,False,False
medium,2,vote,vote(ma_crossover+bb_reversion),vote(ma_ribbon+zscore),0.5915241362991854,0.746,False,False
medium,2,vote,vote(ma_crossover+zscore),vote(ma_ribbon+bb_reversion),0.5674111419367396,0.7373333333333333,False,False
medium,2,vote,vote(ma_crossover+zscore),vote(ma_ribbon+zscore),0.6040541647721507,0.738810955243821,False,False
medium,2,vote,vote(ma_ribbon+bb_reversion),vote(ma_ribbon+zscore),0.9655041313025937,0.998,False,True
medium,2,vote,vote(ma_crossover+vwap_reversion),vote(ma_ribbon+vwap_reversion),0.7166567947049015,0.8099606815203145,False,False
medium,2,vote,vote(ma_crossover+ou_reversion),vote(ma_ribbon+ou_reversion),0.5575283847426186,0.6528189910979229,False,False
medium,2,vote,vote(ma_crossover+obv_trend),vote(ma_ribbon+obv_trend),0.8003050780649799,0.8288222384784198,False,True
medium,2,vote,vote(macd+bb_reversion),vote(macd+zscore),0.9736623512755581,0.9814366424535916,False,True
medium,2,vote,vote(ichimoku+bb_reversion),vote(ichimoku+zscore),0.9728842650009352,0.9763779527559056,False,True
medium,2,vote,vote(ts_momentum+bb_reversion),vote(ts_momentum+zscore),0.9791084387931643,0.9781818181818182,False,True
medium,2,vote,vote(dual_momentum+bb_reversion),vote(dual_momentum+zscore),0.9659083428885147,0.9814066289409863,False,True
medium,2,vote,vote(sma_regime+bb_reversion),vote(sma_regime+zscore),0.9759347965240373,0.9780018331805683,False,True
medium,2,vote,vote(adx_trend+bb_reversion),vote(adx_trend+zscore),0.9708507351316129,0.9700374531835206,False,True
medium,2,vote,vote(hurst_switch+bb_reversion),vote(hurst_switch+zscore),0.9696025297248165,0.9523809523809523,False,True
medium,2,vote,vote(vol_regime+bb_reversion),vote(vol_regime+zscore),0.9757669060108799,0.9696586599241467,False,True
medium,2,vote,vote(breakout+bb_reversion),vote(breakout+zscore),0.9697599220619357,0.9772296015180265,False,True
medium,2,vote,vote(bb_breakout+bb_reversion),vote(bb_breakout+zscore),0.970516782729396,0.973741794310722,False,True
medium,2,vote,vote(keltner+bb_reversion),vote(keltner+zscore),0.970829132335575,0.9696969696969697,False,True
medium,2,vote,vote(rsi+bb_reversion),vote(rsi+zscore),0.985284664900671,0.9553072625698324,False,True
