horizon,kind,label,mode,family,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr_spread,frac_paths_positive,median_path_return,total_trades,insufficient,reason
short,triple,vote(ma_crossover+sma_regime+rsi),vote,trend+regime-filter+oscillator-reversion,21,7,-2.8198541053655255,-3.7071799839803186,-1.793490423115292,1.9136895608650266,0.047619047619047616,-0.1766195951440831,6202,False,
short,triple,all(ma_crossover+sma_regime+zscore),all,trend+regime-filter+mean-reversion,21,7,1.9065777827022306,0.2771220810633526,2.9567991140482346,2.679677032984882,0.7619047619047619,0.02688488583179094,62,False,
short,triple,vote(ma_crossover+sma_regime+zscore),vote,trend+regime-filter+mean-reversion,21,7,-2.8395532828331165,-3.940525941825875,-1.7983836696448199,2.1421422721810552,0.047619047619047616,-0.196095786605886,6130,False,
short,triple,all(ma_crossover+sma_regime+obv_trend),all,trend+regime-filter+volume-flow,21,7,-3.1092825883435835,-3.7202058219287473,-2.0723114661179767,1.6478943558107706,0.0,-0.21148569569992903,400,False,
short,triple,vote(ma_crossover+sma_regime+obv_trend),vote,trend+regime-filter+volume-flow,21,7,-1.9421562369161987,-2.7774763159196674,-0.7113061276844735,2.0661701882351937,0.0,-0.14954972883112239,3888,False,
short,triple,all(ma_crossover+breakout+rsi),all,trend+breakout+oscillator-reversion,21,7,0.0,-2.1802295342554188,0.0,2.1802295342554188,0.0,0.0,2,True,only 2 trades across all blocks (floor 10)
short,triple,vote(ma_crossover+breakout+rsi),vote,trend+breakout+oscillator-reversion,21,7,-2.7397854946830402,-3.4693594816906628,-2.11413873152998,1.3552207501606826,0.0,-0.19176999438908704,6663,False,
short,triple,all(ma_crossover+breakout+zscore),all,trend+breakout+mean-reversion,21,7,0.0,-3.0531220124081138,0.0,3.0531220124081138,0.0,0.0,2,True,only 2 trades across all blocks (floor 10)
short,triple,vote(ma_crossover+breakout+zscore),vote,trend+breakout+mean-reversion,21,7,-2.515478974314204,-3.952358995286169,-2.113401264185346,1.8389577311008227,0.0,-0.17192206943614996,6519,False,
short,triple,all(ma_crossover+breakout+obv_trend),all,trend+breakout+volume-flow,21,7,-2.9935281583176296,-4.054324483844703,-2.4025630182692117,1.6517614655754915,0.0,-0.20832351120631942,356,False,
short,triple,vote(ma_crossover+breakout+obv_trend),vote,trend+breakout+volume-flow,21,7,-1.9727570417542921,-2.757318894423604,-0.7122585870006082,2.045060307422996,0.14285714285714285,-0.128899465750675,3744,False,
short,triple,all(ma_crossover+rsi+zscore),all,trend+oscillator-reversion+mean-reversion,21,7,-0.6384597913745637,-2.583066657659409,0.356063054013501,2.93912971167291,0.3333333333333333,-0.022628828897964803,114,False,
short,triple,vote(ma_crossover+rsi+zscore),vote,trend+oscillator-reversion+mean-reversion,21,7,-2.229738959320348,-3.389639190298511,-1.82590918989716,1.563730000401351,0.09523809523809523,-0.18831125411892713,5766,False,
short,triple,all(ma_crossover+rsi+obv_trend),all,trend+oscillator-reversion+volume-flow,21,7,-1.5173097094862353,-2.521870963157599,-0.3749346909780418,2.1469362721795573,0.23809523809523808,-0.021842472729381446,54,False,
