a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
voltarget,grid,sma-gated,mean-reversion,True,-0.49424001488149916,0.11779141104294479,0.24510032664489034,False
sma_regime,grid,sma-gated,mean-reversion,True,-0.49424001488149916,0.11779141104294479,0.24510032664489034,False
grid,garch_voltarget,mean-reversion,sma-gated,True,-0.49424001488149916,0.11779141104294479,0.24510032664489034,False
ts_momentum,stochastic,momentum,oscillator-reversion,True,-0.5072229305235131,0.033935242839352425,0.27601493233784413,False
stochastic,dual_momentum,oscillator-reversion,momentum,True,-0.5103146547448861,0.03297045101088647,0.27461502566495566,False
breakout,grid,breakout,mean-reversion,True,-0.5137250481088188,0.06995252722703156,0.2229351376574895,False
rsi,breakout,oscillator-reversion,breakout,True,-0.516536220911721,0.0032192477126397833,0.3136957536164256,False
obv_trend,zscore,volume-flow,mean-reversion,True,-0.5262042976799777,0.038929806102510144,0.25408306112925805,False
zscore,dual_momentum,mean-reversion,momentum,True,-0.5329430767636005,0.02580346106304079,0.2644657022865142,False
bb_reversion,obv_trend,mean-reversion,volume-flow,True,-0.5365787031296457,0.03919523099850969,0.2479001399906673,False
bb_reversion,dual_momentum,mean-reversion,momentum,True,-0.537664411816352,0.027607361963190184,0.2603826411572562,False
obv_trend,grid,volume-flow,mean-reversion,True,-0.5379598282244453,0.14845360824742268,0.22911805879608027,False
breakout,vwap_reversion,breakout,mean-reversion,True,-0.5386472316652536,0.01053484602917342,0.2877974801679888,False
rsi,dual_momentum,oscillator-reversion,momentum,True,-0.540988426892643,0.037142857142857144,0.2530331311245917,False
rsi,obv_trend,oscillator-reversion,volume-flow,True,-0.5510967156796527,0.04579929988331389,0.23681754549696687,False
vwap_reversion,obv_trend,mean-reversion,volume-flow,True,-0.5627161473896711,0.059906528820280414,0.2256182921138591,False
ts_momentum,vwap_reversion,momentum,mean-reversion,True,-0.5631130804553778,0.04719721173395295,0.2346010265982268,False
ts_momentum,zscore,momentum,mean-reversion,True,-0.5736655019684153,0.013433063654403908,0.24603359776014933,False
bb_reversion,ts_momentum,mean-reversion,momentum,True,-0.5780952516520014,0.01530534929534778,0.24195053663089128,False
rsi,ts_momentum,oscillator-reversion,momentum,True,-0.5886005619872497,0.022535211267605635,0.23086794213719086,False
stochastic,ma_ribbon,oscillator-reversion,trend,True,-0.6153027014302054,0.12237070032170255,0.17253849743350444,False
grid,dual_momentum,mean-reversion,momentum,True,-0.6161009006037443,0.09465281297516473,0.16647223518432105,False
grid,ichimoku,mean-reversion,trend,True,-0.6327400969358764,0.028185631882538018,0.13520765282314512,False
vwap_reversion,ma_ribbon,mean-reversion,trend,True,-0.6420881068483187,0.1621458710066305,0.18922071861875875,False
ma_crossover,grid,trend,mean-reversion,True,-0.6514737456493479,0.07558066541117389,0.14104059729351376,False
zscore,ma_ribbon,mean-reversion,trend,True,-0.664760800679409,0.09981807155852032,0.13415772281847876,False
rsi,ma_ribbon,oscillator-reversion,trend,True,-0.6653155759799689,0.12239740040919485,0.14932337844143723,False
bb_reversion,ma_ribbon,mean-reversion,trend,True,-0.6702365306433519,0.10413642960812772,0.13590760615958936,False
ts_momentum,grid,momentum,mean-reversion,True,-0.6761801434414015,0.06971272907379891,0.12354176388240784,False
grid,ma_ribbon,mean-reversion,trend,True,-0.695860394316911,0.2989085788053045,0.3030797946803546,False
