label,kind,horizon,families,mode,rankable,full_return,full_sharpe,full_maxdd,full_trades,full_exposure,is_return,is_sharpe,is_maxdd,is_trades,is_exposure,oos_return,oos_sharpe,oos_maxdd,oos_trades,oos_exposure
any(ts_momentum+bb_breakout),pair,short,momentum+breakout,any,True,-0.5726636178646807,-1.6162594269410355,-0.6731087552653409,373,0.500170010200612,-0.49557202478938434,-1.7180750805859648,-0.6357812226206445,254,0.49708549222797926,-0.15282973360688068,-1.3525823350797117,-0.21471998843586093,119,0.5073668303740083
all(ts_momentum+keltner),pair,short,momentum+breakout,all,True,-0.030765009810543087,-0.06329099263970281,-0.1643761568337967,52,0.08579848124220787,0.05279239813873948,0.44794079122431985,-0.15361008238552196,39,0.09407383419689119,-0.0793674119389598,-1.9537340419050238,-0.08957158870860299,13,0.06649036645258784
any(ts_momentum+keltner),pair,short,momentum+breakout,any,True,-0.6542343602127293,-2.1111214334857875,-0.7240629407411463,390,0.49019607843137253,-0.577969517602068,-2.2720206173732054,-0.6668471595572254,264,0.4878562176165803,-0.1807093226473473,-1.6769021564647826,-0.23279087827197292,126,0.49565545901020025
all(ts_momentum+rsi),pair,short,momentum+oscillator-reversion,all,True,-0.2070291229408323,-2.0432478899779944,-0.22088690620422496,70,0.01722770032868639,-0.16044665368315547,-1.9615958249738414,-0.1816866178546912,53,0.018620466321243524,-0.05548482352197737,-2.6144282260790646,-0.07033832279361796,17,0.013978088401964487
any(ts_momentum+rsi),pair,short,momentum+oscillator-reversion,any,True,-0.738199827074636,-1.8418070720716546,-0.8512396871916333,418,0.7842003853564548,-0.6842756573358795,-2.1376620886419078,-0.7793562424889298,280,0.7841645077720207,-0.17089410656655168,-0.9854650005916544,-0.3750806746086719,138,0.7842840952021156
all(ts_momentum+stochastic),pair,short,momentum+oscillator-reversion,all,True,-0.19858214369763139,-2.103756243008353,-0.22149536445917029,83,0.024708149155616005,-0.123435718573214,-1.6036840431908315,-0.1759289780818222,56,0.02542098445595855,-0.0857283678067523,-4.113169443425593,-0.09137686569590256,27,0.0230449565545901
any(ts_momentum+stochastic),pair,short,momentum+oscillator-reversion,any,True,-0.642257639635055,-1.4312542940502382,-0.7556496040878002,410,0.7483849030941857,-0.5725158954178828,-1.5743614321603714,-0.6971884125343382,278,0.7454663212435233,-0.16919659646210017,-1.0808630001222206,-0.271934384120106,132,0.7544389875330563
all(ts_momentum+bb_reversion),pair,short,momentum+mean-reversion,all,True,-0.05834186997798585,-0.8451074207693259,-0.07123219750818553,47,0.01144735350787714,-0.06455165045265987,-1.289345989246553,-0.06939310884611495,33,0.010686528497409326,0.006638293260851746,0.4016551152282395,-0.03022475745956895,14,0.013222516055912353
any(ts_momentum+bb_reversion),pair,short,momentum+mean-reversion,any,True,-0.7447484288193329,-1.9191006331603933,-0.8412827339374385,444,0.7690128074351128,-0.6925048953228508,-2.2349931304783173,-0.7779503771076733,298,0.7670012953367875,-0.1699994910517707,-1.0023087656327714,-0.3386590150043934,146,0.7737060823573857
all(ts_momentum+zscore),pair,short,momentum+mean-reversion,all,True,-0.08196603667610747,-1.2622701392468672,-0.08196603667610743,42,0.009973931769239488,-0.06949751384511493,-1.3987292037368306,-0.06949751384511492,32,0.010200777202072539,-0.0133997737958933,-0.8696351634687098,-0.028187618427726137,10,0.009444654325651681
any(ts_momentum+zscore),pair,short,momentum+mean-reversion,any,True,-0.7289285013604151,-1.8310610703537873,-0.842119288917114,444,0.7635724810155275,-0.6911098847957768,-2.235321754261222,-0.7813534540375463,297,0.7634391191709845,-0.12253866811412206,-0.6367519006441255,-0.3319057153764289,147,0.7638836418587079
all(ts_momentum+vwap_reversion),pair,short,momentum+mean-reversion,all,True,-0.23973303108021793,-1.7756936966638652,-0.26440573034019427,126,0.03740224413464808,-0.20224163887013002,-1.808910120876634,-0.23603989899424496,105,0.045174870466321244,-0.04699592512824202,-2.143542976489639,-0.05043638307879395,21,0.01926709482432943
any(ts_momentum+vwap_reversion),pair,short,momentum+mean-reversion,any,True,-0.7802578655803627,-2.0907574982678794,-0.8493885397437239,396,0.8024481468888133,-0.7045104108284104,-2.2436142165902573,-0.7867200455312352,259,0.8084520725388601,-0.2617235350542313,-1.7295129088160093,-0.350115429865141,137,0.7876841707593502
all(ts_momentum+obv_trend),pair,short,momentum+volume-flow,all,True,-0.6132096810206409,-2.1586266510376113,-0.6755264969843552,418,0.3936302844837357,-0.5112989069084521,-2.1574787685853907,-0.6043596409760115,285,0.3864961139896373,-0.20853395982295453,-2.2254502766129063,-0.2459732845250442,133,0.41027578390630903
any(ts_momentum+obv_trend),pair,short,momentum+volume-flow,any,True,-0.4781225266101008,-0.9942206550350328,-0.618453054683238,443,0.6139635044769353,-0.3247884396295325,-0.7325011033502391,-0.5711071244766416,302,0.6096178756476683,-0.22501997525290995,-1.80918368183832,-0.3026153521215984,140,0.623724971666037
all(sma_regime+breakout),pair,short,regime-filter+breakout,all,True,-0.3705561711112315,-1.2522219931158438,-0.4569665044672528,171,0.24198118553779893,-0.2777636295594297,-1.1555165198368362,-0.3771171398048245,115,0.23607512953367876,-0.12847946371794683,-1.5812672901988205,-0.18353603993808124,56,0.2557612391386475
any(sma_regime+breakout),pair,short,regime-filter+breakout,any,True,-0.6054273683099277,-1.6944620477080194,-0.6783310741079098,203,0.5596735804148248,-0.5237008182106955,-1.8308873726879131,-0.6004155611838893,150,0.5555375647668394,-0.16936744237729162,-1.307093920269563,-0.2566206547221536,52,0.5689459765772573
all(sma_regime+bb_breakout),pair,short,regime-filter+breakout,all,True,-0.35747669806954674,-1.3949136660132364,-0.4186919826742742,141,0.19437832936642865,-0.27695420509754276,-1.3785380253110637,-0.36063024666208354,94,0.1952720207253886,-0.11136568878443809,-1.462032992885936,-0.147979473186104,47,0.19229316207026823
any(sma_regime+bb_breakout),pair,short,regime-filter+breakout,any,True,-0.48183269409247154,-1.2375008600698068,-0.5969478481938886,191,0.4928029015074238,-0.46669376744520163,-1.6452765437735737,-0.5466004532134219,138,0.48672279792746115,-0.025784185856509767,-0.041610693996713376,-0.17386550378747376,52,0.5066112580279561
all(sma_regime+keltner),pair,short,regime-filter+breakout,all,True,-0.030497772292600756,-0.07720802815561358,-0.16840614258544986,51,0.07831803241527825,0.011674808017523963,0.18248206739779946,-0.1679510241089585,39,0.08743523316062177,-0.041685905367918163,-1.0517037462281669,-0.06789528573776817,12,0.057045712126936154
any(sma_regime+keltner),pair,short,regime-filter+breakout,any,True,-0.5386316033292188,-1.6217236818910947,-0.6129254087961733,175,0.4379462767766066,-0.48216915849349284,-1.87198987914074,-0.5597571254203595,124,0.4371761658031088,-0.10664976462701437,-0.8894830132728673,-0.1899140098345472,50,0.4393653192293162
all(sma_regime+rsi),pair,short,regime-filter+oscillator-reversion,all,True,-0.16993594902213605,-1.2211896247956529,-0.2513203557145091,88,0.05905020967924742,-0.2113009175021241,-2.1474356102658225,-0.21592690157121655,71,0.0667098445595855,0.052447085837836305,1.4563374392275816,-0.04557591468960957,17,0.04117869285984133
any(sma_regime+rsi),pair,short,regime-filter+oscillator-reversion,any,True,-0.7022220076922072,-1.764638298481641,-0.7889885581623717,231,0.6821942649892326,-0.6425274350611586,-2.03355631744093,-0.7254641955916167,162,0.6781088082901554,-0.16619407419740018,-0.9953297105843856,-0.3227938466076883,69,0.691348696637703
