horizon,strategy,label,family,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr_spread,frac_paths_positive,median_path_return,total_trades,insufficient,reason
medium,ma_ribbon,ma_ribbon_5x10,trend,21,7,-0.33568516321049335,-0.6540904100431342,1.3028846857679184,1.9569750958110526,0.42857142857142855,-0.2900253325421135,965,False,
medium,ichimoku,ichimoku_9_26_52,trend,21,7,0.023188549805589462,-0.3787879297929782,1.6758451683740119,2.05463309816699,0.5714285714285714,-0.10890350303863727,82,False,
medium,ou_reversion,ou_reversion_250_2.5,mean-reversion,15,6,0.41221928193797036,0.21272115612945408,1.0031304151860512,0.7904092590565971,0.9333333333333333,0.104521013212312,26,False,
medium,hurst_switch,hurst_switch_250_0.55_0.45,regime-filter,15,6,0.6988538792467518,0.6087740232696004,1.7759523027687751,1.1671782794991747,0.9333333333333333,0.16730644158508312,24,False,
medium,vol_regime,vol_regime_20_0.5,regime-filter,15,6,-0.17172739474568682,-0.6833342887093492,0.07520970510009281,0.758543993809442,0.4,-0.18716130638841133,94,False,
medium,atr_sized,atr_sized_14_0.01,risk-overlay,21,7,-0.038009389354608174,-0.5733124623185046,0.715865825582343,1.2891782879008478,0.47619047619047616,-0.0025028163801267267,743,False,
medium,garch_voltarget,garch_voltarget_0.94_0.6,risk-overlay,21,7,-0.028338234102461814,-0.5666316581802053,0.6401856588046181,1.2068173169848233,0.47619047619047616,-0.12157015954106765,711,False,
long,buy_and_hold,buy_and_hold,baseline,28,8,0.53383105432224,-0.09497628957104505,1.3388722995466442,1.4338485891176893,0.6785714285714286,0.09389190960717592,16,False,
long,ma_crossover,ma_crossover_50_200,trend,21,7,0.28993439019525385,-0.3722985716570189,0.7901085811487919,1.1624071528058109,0.5238095238095238,0.0,16,False,
long,macd,macd_26_52_18,trend,21,7,0.5166178090401649,0.09174587377517571,1.2336209762470642,1.1418751024718885,0.7619047619047619,0.16067826121297402,50,False,
long,ts_momentum,ts_momentum_200,momentum,21,7,0.199616111874506,-0.8167104561062521,1.5242452490163056,2.340955705122558,0.5238095238095238,-0.1272351647879355,54,False,
long,sma_regime,sma_regime_200,regime-filter,21,7,0.2535652074541983,0.0,1.6200723618430983,1.6200723618430983,0.7142857142857143,-0.02172455369119175,44,False,
long,breakout,breakout_60_30,breakout,21,7,0.14042641075584708,-0.285070331254217,1.3906462612804558,1.6757165925346729,0.6190476190476191,-0.06588539148643247,18,False,
long,bb_breakout,bb_breakout_60_2,breakout,21,7,-0.34861383793007833,-0.6156308626532844,1.2894915584118973,1.9051224210651818,0.42857142857142855,-0.2707704135707414,32,False,
long,keltner,keltner_50_30_2,breakout,21,7,-0.15985634305479196,-0.7477542176909956,1.4550300607049125,2.202784278395908,0.38095238095238093,-0.17674402553251756,34,False,
long,rsi,rsi_30_35_55,oscillator-reversion,21,7,0.5934893158650294,0.0,0.8954075695815996,0.8954075695815996,0.7142857142857143,0.20815476220052176,10,False,
long,stochastic,stoch_40_5,oscillator-reversion,21,7,0.3157061457043147,-0.1379558559164463,0.6140345581921591,0.7519904141086055,0.5714285714285714,0.06341289732338362,34,False,
long,bb_reversion,bb_reversion_60_2,mean-reversion,21,7,0.1198036403097869,0.03090048199673458,0.25300581062648897,0.22210532862975438,0.7619047619047619,-0.059953330810469274,24,False,
long,zscore,zscore_60_-2,mean-reversion,21,7,0.1198036403097869,0.03090048199673458,0.25300581062648897,0.22210532862975438,0.7619047619047619,-0.059953330810469274,24,False,
long,vwap_reversion,vwap_reversion_60_0.05,mean-reversion,21,7,-0.16156950472281073,-0.37483951356324224,0.045640666520375066,0.4204801800836173,0.2857142857142857,-0.3147455253343401,54,False,
long,grid,grid_120_4_0.1,mean-reversion,21,7,0.09517336776411978,-0.42157294724612654,0.44724726891877253,0.868820216164899,0.5238095238095238,-0.02323770487273369,675,False,
long,obv_trend,obv_trend_60,volume-flow,21,7,0.7740954549380439,0.0056143895121241495,1.5768800265698573,1.5712656370577331,0.8095238095238095,0.4461280818542501,98,False,
long,voltarget,voltarget_200_60_0.6,risk-overlay,21,7,0.2946964905553242,0.08444875857783596,1.6427979641038946,1.5583492055260586,0.7619047619047619,0.049847534976563246,661,False,
long,dual_momentum,dual_momentum_24_1,momentum,21,7,0.35838933031010595,-0.31940718765918336,1.3952129788940613,1.7146201665532446,0.5714285714285714,0.05495009021265296,156,False,
long,adx_trend,adx_trend_30_25,regime-filter,21,7,0.6507584349439356,-0.8795596639247716,1.4063610179058614,2.285920681830633,0.5714285714285714,0.2621737557471193,14,False,
long,ma_ribbon,ma_ribbon_5x20,trend,21,7,0.17147617920186625,-0.5139674210037838,0.804740556763146,1.31870797776693,0.5714285714285714,-0.025899008985042826,1030,False,
long,ichimoku,ichimoku_18_52_104,trend,21,7,0.24271818715531185,0.0,0.9502301064990099,0.9502301064990099,0.7142857142857143,0.024696956692999317,56,False,
long,ou_reversion,ou_reversion_250_3,mean-reversion,15,6,0.41221928193797036,0.004754338624861493,0.8107089866769355,0.805954648052074,0.7333333333333333,0.104521013212312,24,False,
long,hurst_switch,hurst_switch_250_0.55_0.45,regime-filter,15,6,0.5576851823269191,0.14282015677771548,1.6475585129817394,1.504738356204024,0.8,0.11328109639249728,32,False,
long,vol_regime,vol_regime_60_0.5,regime-filter,15,6,0.6963665172944979,0.1862500799514335,1.009212475621482,0.8229623956700485,0.8,0.36125889083979823,54,False,
long,atr_sized,atr_sized_30_0.01,risk-overlay,21,7,0.15602119797835798,-0.0751418167258868,1.6401577758797101,1.715299592605597,0.6666666666666666,0.007113168008560322,672,False,
long,garch_voltarget,garch_voltarget_0.97_0.6,risk-overlay,21,7,0.23917906643601014,0.03364484095741808,1.5913889824988543,1.5577441415414361,0.7619047619047619,0.023351306206540245,672,False,
