a,b,family_a,family_b,cross_family,corr,agree_active,agree_all,redundant
breakout,vol_regime,breakout,regime-filter,True,0.23717141814477655,0.28431372549019607,0.6853448275862069,False
ma_crossover,bb_breakout,trend,breakout,True,0.2370015328906213,0.3192982456140351,0.6416256157635468,False
ma_crossover,ou_reversion,trend,mean-reversion,True,0.200933051106654,0.1506276150627615,0.625,False
bb_breakout,hurst_switch,breakout,regime-filter,True,0.1992396715524751,0.09227467811158799,0.7395320197044335,False
ichimoku,hurst_switch,trend,regime-filter,True,0.19830352452180383,0.08671586715867159,0.6951970443349754,False
keltner,hurst_switch,breakout,regime-filter,True,0.19758284408179466,0.09016393442622951,0.7266009852216748,False
breakout,hurst_switch,breakout,regime-filter,True,0.1838155981930029,0.08256880733944955,0.6921182266009852,False
ts_momentum,dual_momentum,momentum,momentum,False,0.1809452012020824,0.3807296538821328,0.5923645320197044,False
ma_crossover,hurst_switch,trend,regime-filter,True,0.1805047899779758,0.07456140350877193,0.6102216748768473,False
ts_momentum,obv_trend,momentum,volume-flow,True,0.18003000895464724,0.387717690192484,0.5886699507389163,False
ma_ribbon,hurst_switch,trend,regime-filter,True,0.17998582687345674,0.04117181314330958,0.2543103448275862,False
hurst_switch,atr_sized,regime-filter,sma-gated,True,0.17751882858606757,0.07413010590015129,0.6231527093596059,False
sma_regime,hurst_switch,sma-gated,regime-filter,True,0.17405787777510207,0.07413010590015129,0.6231527093596059,False
breakout,macd,breakout,trend,True,0.16030063261008853,0.3295985060690943,0.5578817733990148,False
macd,adx_trend,trend,regime-filter,True,0.15685462819529014,0.13498920086393087,0.5067733990147784,False
ts_momentum,hurst_switch,momentum,regime-filter,True,0.14820146980144658,0.06638418079096045,0.5929802955665024,False
stochastic,ou_reversion,oscillator-reversion,mean-reversion,True,0.14175813950108376,0.13024602026049203,0.6299261083743842,False
voltarget,hurst_switch,sma-gated,regime-filter,True,0.1386041218948388,0.07413010590015129,0.6231527093596059,False
hurst_switch,garch_voltarget,regime-filter,sma-gated,True,0.13757962100581209,0.07413010590015129,0.6231527093596059,False
obv_trend,hurst_switch,volume-flow,regime-filter,True,0.11163264872161847,0.05548854041013269,0.5178571428571429,False
macd,vol_regime,trend,regime-filter,True,0.10922259099549304,0.24221789883268482,0.520320197044335,False
macd,atr_sized,trend,sma-gated,True,0.10304078150862447,0.3151618398637138,0.5049261083743842,False
macd,ichimoku,trend,trend,False,0.10115086650965956,0.3019213174748399,0.5301724137931034,False
ma_crossover,obv_trend,trend,volume-flow,True,0.10095280027540691,0.3423180592991914,0.5492610837438424,False
rsi,macd,oscillator-reversion,trend,True,0.09893413453955223,0.25572519083969464,0.5197044334975369,False
grid,ou_reversion,mean-reversion,mean-reversion,False,0.09352446522294874,0.12620320855614972,0.49692118226600984,False
ts_momentum,ou_reversion,momentum,mean-reversion,True,0.08420759701385976,0.1089238845144357,0.5818965517241379,False
zscore,ou_reversion,mean-reversion,mean-reversion,False,0.08179425810735586,0.10801393728222997,0.6847290640394089,False
bb_reversion,ou_reversion,mean-reversion,mean-reversion,False,0.08179425810735586,0.10801393728222997,0.6847290640394089,False
ma_crossover,dual_momentum,trend,momentum,True,0.07563838205344135,0.3224341507720254,0.5406403940886699,False
dual_momentum,hurst_switch,momentum,regime-filter,True,0.060961291322215075,0.04625,0.5301724137931034,False
macd,voltarget,trend,sma-gated,True,0.04926992521548039,0.3151618398637138,0.5049261083743842,False
macd,sma_regime,trend,sma-gated,True,0.029996624901349668,0.3151618398637138,0.5049261083743842,False
macd,garch_voltarget,trend,sma-gated,True,0.027647781415762962,0.3151618398637138,0.5049261083743842,False
macd,hurst_switch,trend,regime-filter,True,0.02762728064777248,0.03938730853391685,0.45935960591133007,False
ou_reversion,hurst_switch,mean-reversion,regime-filter,True,0.019764476643109048,0.035175879396984924,0.8817733990147784,False
adx_trend,vol_regime,regime-filter,regime-filter,False,-0.008252911689262468,0.07086614173228346,0.7093596059113301,False
hurst_switch,vol_regime,regime-filter,regime-filter,False,-0.013653631580946086,0.027842227378190254,0.7419950738916257,False
macd,ma_ribbon,trend,trend,False,-0.014798385352127626,0.45793758480325647,0.5080049261083743,False
breakout,ou_reversion,breakout,mean-reversion,True,-0.024994472730699185,0.06750392464678179,0.6342364532019704,False
macd,ts_momentum,trend,momentum,True,-0.027090668966549835,0.3056696795398521,0.47967980295566504,False
